ProNr,Alternativ,År,Trafikantnytte,Kjøretøykostnader,Direkteutgifter,Tidskostnader,Nyskapt,Ulempeskostnader,Helsevirkninger,Utrygghetskostnader,Operatørkostnader,Operatørinntekter,Operatøroverføringer,Drift_vedlikehold,Offentlige_overføringer,Skatte_avgiftsinntekter,Ulykker,Støy_luft,Andre_kostnader,Skattekostnad
1,0,2029,,-9808.002,-712.10437,-16585.936,0,-0,0,-0,-1063.3705,638.02234,425.34821,-859.99243,-425.34821,1482.1232,-3179.2644,-1104.0631,-0,39.356514
1,0,2030,,-9466.0068,-698.61713,-16256.64,0,-0,0,-0,-1043.2302,625.93817,417.29211,-830.34857,-417.29211,1363.7472,-3026.3325,-1107.291,-0,23.221308
1,0,2031,,-9104.1055,-685.18225,-15907.71,0,-0,0,-0,-1023.1683,613.901,409.26733,-800.70166,-409.26733,1246.1649,-2874.2803,-1034.9993,-0,7.2391863
1,0,2032,,-8758.8916,-671.8418,-15567.466,0,-0,0,-0,-1003.2473,601.94836,401.29889,-772.12866,-401.29889,1138.8186,-2730.0774,-967.42639,-0,-6.9217911
1,0,2033,,-8430.0508,-658.62512,-15235.692,0,-0,0,-0,-983.51111,590.10669,393.40445,-744.59039,-393.40445,1041.2452,-2593.311,-904.36243,-0,-19.349926
1,0,2034,,-8117.2471,-645.50049,-14912.175,0,-0,0,-0,-963.91235,578.34741,385.56494,-718.04889,-385.56494,954.97076,-2463.5906,-848.54639,-0,-29.728621
1,0,2035,,-7820.042,-632.60822,-14596.709,0,-0,0,-0,-944.66064,566.79639,377.86426,-692.46783,-377.86426,877.211,-2340.5454,-796.6781,-0,-38.624229
1,0,2036,,-7539.3311,-620.04211,-14288.265,0,-0,0,-0,-925.89594,555.53754,370.35837,-667.81207,-370.35837,807.5047,-2223.8264,-749.16327,-0,-46.13316
1,0,2037,,-7272.4673,-607.64941,-13986.224,0,-0,0,-0,-907.39008,544.43408,362.95602,-644.04785,-362.95602,744.74658,-2113.1008,-705.38641,-0,-52.451469
1,0,2038,,-7019.0977,-595.49274,-13690.493,0,-0,0,-0,-889.23682,533.54205,355.69473,-621.14264,-355.69473,688.31091,-2008.0548,-665.2674,-0,-57.705307
1,0,2039,,-6778.0107,-583.5401,-13401.031,0,-0,0,-0,-871.38818,522.83289,348.55527,-599.06494,-348.55527,637.54926,-1908.3911,-628.37543,-0,-62.014206
